brand_0,brand_1,brand_2,price,dcity_0,dcity_1,dcity_2,dcity_3,dcity_4,acity_0,acity_1,acity_2,acity_3,acity_4,class_type,flytime_hours,dhour,dminute,ahour,aminute,dmonth,dday
0,1,0,3764000,0,0,0,0,1,0,0,0,1,1,1,1.3333333333333333,14,40,16,0,12,10
0,1,0,4311000,0,0,0,0,1,0,0,0,1,1,1,1.3333333333333333,14,40,16,0,12,10
0,1,0,5109000,0,0,0,0,1,0,0,0,1,1,1,1.3333333333333333,14,40,16,0,12,10
0,1,0,1083000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1332000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1343000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1448000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1458000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1564000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1666000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1709000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1775000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1876000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,1960000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,2519000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,2559000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,2633000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,2761000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,2953000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,2986000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,3098000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,3225000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,3443000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,3637000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,4009000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,5729000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,6737000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,0,10424000,0,0,0,0,1,0,0,0,0,1,1,2.1666666666666665,21,40,23,50,12,10
0,1,1,958000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,866000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,1221000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,1634000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,3215000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,5441000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,5446000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,5581000,0,0,0,0,1,0,0,1,0,0,1,1.0833333333333333,17,45,18,50,12,10
0,1,1,1436000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,1817000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,4876000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,2813000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,3087000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,3109000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,3112000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,3362000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
0,1,1,4311000,0,0,0,0,1,0,0,1,0,1,1,1.25,20,5,21,20,12,10
